time	size
8861	195
8877	23
8886	18
8889	30
8891	14
8909	10
8912	23
8915	27
8919	25
8932	45
8933	34
8935	17
8941	17
8943	26
8948	29
8950	41
8957	26
8960	140
8975	32
8988	51
8990	149
9008	23
9012	26
9032	24
9085	78
9086	32
9184	17
9187	20
9190	27
9199	20
9202	29
9225	29
9226	23
9351	20
9357	20
9363	20
9366	24
9390	22
9391	32
9394	18
9396	21
9399	21
9403	26
9413	19
9493	19
9560	24
9561	20
9563	21
9568	19
9617	29
9620	22
9648	17
9650	20
9873	20
9877	26
9881	20
9889	23
9892	162
9965	21
9987	17
9991	17
9995	20
10002	20
10010	20
10058	20
10059	20
10201	19
10209	26
10210	26
10224	25
10226	23
10251	23
10253	29
10260	20
10275	32
10280	20
10283	20
10289	23
10291	20
10293	25
10295	23
10299	32
10301	25
10315	24
10406	27
10407	25
10410	15
10422	29
10438	17
10464	26
10559	22
10562	26
10566	26
10568	29
10589	20
10612	17
10614	26
10628	19
10642	21
10672	17
10689	20
10695	26
10698	21
10704	21
10721	20
10763	20
10765	30
10767	21
10776	20
10779	30
10834	23
10843	30
10853	16
10861	21
10863	17
10864	26
10867	18
10879	30
10926	23
10927	29
10932	20
10955	23
10957	29
10958	23
10970	28
10972	26
10982	22
10986	20
10998	35
11048	29
11112	26
11162	20
11184	25
11186	20
11211	20
11215	21
11219	22
11265	26
11291	23
11297	20
11326	20
11360	20
11361	20
11433	20
11495	54
11641	20
11645	19
11652	37
11657	20
11718	20
11719	20
11723	23
11766	480
11798	32
11806	20
11808	97
11933	28
12131	29
12172	20
12175	20
12192	32
12206	32
12351	20
12380	17
12399	28
12410	20
12512	17
12514	23
12605	26
12611	35
12790	18
12792	20
12805	20
12806	24
12811	22
12924	18
12959	32
12963	115
13068	20
13202	17
13204	21
13210	27
13240	29
13307	20
13511	26
13514	32
13545	26
13548	26
13554	20
13557	20
13585	29
13659	24
13717	21
13728	19
13766	19
13955	20
13957	20
13994	26
14010	29
14014	20
14050	17
14196	24
14219	20
14284	20
14395	17
14404	20
14406	27
14432	28
14460	23
15033	18
15034	29
15037	22
15040	23
15043	20
15045	30
15047	20
15052	18
15053	19
15055	22
15059	20
15061	26
15062	26
15068	29
15166	26
15224	17
15227	161
15318	32
15402	23
15414	32
15431	48
15439	23
15440	136
15702	23
15763	17
15764	20
15765	20
15767	23
15769	20
15935	38
15945	18
16051	29
16057	20
16066	23
16070	17
16072	20
16076	17
16082	25
16085	23
16087	23
16122	26
16148	20
16150	23
16180	29
16640	32
16686	19
16687	26
16745	28
16837	23
16841	19
16961	23
16962	32
16963	32
16978	342
17021	26
17050	56
17058	17
17283	8
17286	14
17310	180
17401	143
17421	10
17427	23
17444	14
17451	8
17456	359
17467	11
17472	10
17476	35
17481	29
17489	17
17500	20
17501	52
17515	26
17522	41
17526	38
17534	23
17546	26
17552	50
17553	74
17558	26
17562	19
17570	12
17571	27
17573	15
17579	5
17589	20
17592	100
17598	8
17600	26
17608	11
17609	82
17615	14
17626	15
17636	15
17652	41
17667	39
17668	21
17670	25
17674	19
17679	25
17683	102
17696	17
17699	47
17702	17
17704	38
17708	215
17711	28
17712	88
17725	41
17736	29
17756	17
17763	8
17778	20
17782	8
17789	112
17791	39
17795	26
17797	132
17809	19
17815	17
17821	62
17823	23
17824	20
17827	50
17830	31
17833	11
17844	15
17845	4
17853	23
17856	295
17867	172
17876	21
17883	32
17885	29
17903	20
17904	15
17940	26
17989	23
18075	21
18167	358
18215	26
18220	20
18222	26
18224	20
18395	23
18398	17
18402	19
18543	23
18637	26
18639	26
18644	17
18648	26
18651	24
18653	27
18727	20
18780	20
18784	32
18800	280
18805	17
18813	23
18834	23
18861	62
18955	28
18956	18
19163	27
19167	20
19169	31
19172	26
19190	67
19193	38
19240	161
19437	20
19441	22
19463	23
19525	26
19528	20
19534	26
19535	26
19538	27
19540	20
19632	2
19639	21
19697	58
19947	37
19966	18
19984	18
19988	32
19994	29
20136	20
20146	31
20201	20
20216	19
20266	29
20275	28
20298	20
20367	20
20369	26
20516	26
20529	27
20532	18
20533	20
20613	26
20618	26
20619	21
20620	21
20637	21
20680	21
20844	24
20847	31
20852	29
20855	17
20857	24
20864	23
20871	29
20887	23
