delay	CDF
1.5437	0.946
1.5518	0.947
1.55291	0.948
1.6094	0.949
1.6115	0.95
1.6316	0.951
1.6352	0.952
1.6502	0.953
1.678	0.954
1.6927	0.955
1.72151	0.956
1.7343	0.957
1.7746	0.958
1.81702	0.959
1.8261	0.96
1.8369	0.961
1.8371	0.962
1.8631	0.963
1.9012	0.964
1.9033	0.965
1.93654	0.966
1.9378	0.967
1.939	0.968
1.94263	0.969
1.9533	0.97
1.9748	0.971
1.9834	0.972
1.9944	0.973
2.0039	0.974
2.0062	0.975
2.02	0.976
2.0249	0.977
2.0278	0.978
2.0352	0.979
2.0359	0.98
2.0446	0.981
2.0494	0.982
2.0586	0.983
2.0647	0.984
2.0848	0.985
2.09399	0.986
2.1107	0.987
2.1163	0.988
2.1165	0.989
2.1287	0.99
2.1505	0.991
2.1669	0.992
2.245	0.993
2.3581	0.994
2.4137	0.995
2.614	0.996
2.7319	0.997
2.8017	0.998
3.0044	0.999
5.0478	1.0
