seq	C
457	0.1502
458	0.1503
459	0.1503
460	0.1502
461	0.1503
462	0.1503
463	0.1503
464	0.1502
465	0.1502
466	0.1503
467	0.1502
468	0.1502
469	0.1503
470	0.1503
471	0.1503
472	0.1502
473	0.1502
474	0.1502
475	0.1503
476	0.1503
477	0.1503
478	0.1503
479	0.1503
480	0.1502
481	0.1503
482	0.1503
483	0.1502
484	0.1503
485	0.1502
486	0.1502
487	0.1503
488	0.1503
489	1.1328
490	1.11
491	0.1502
492	0.1502
493	0.1503
494	0.1502
495	0.1503
496	0.1503
497	0.1502
498	0.1502
499	0.1502
500	0.1502
501	0.1503
502	0.1502
503	0.1503
504	0.1502
505	0.1503
506	0.1503
507	0.1503
508	0.1503
509	0.9463
510	1.1378
511	0.2069
512	0.2763
513	0.3467
514	0.1502
515	0.1503
516	0.1502
517	0.1503
518	0.1502
519	0.1502
520	0.1502
521	0.1503
522	0.1503
523	0.1502
524	0.1503
525	0.1502
526	0.1503
527	0.1503
528	0.1503
529	0.1503
530	0.1502
531	0.1503
532	0.1502
533	0.1503
534	0.1502
535	0.1502
536	0.1503
537	0.1502
538	0.1502
539	0.1503
540	0.1503
541	0.1503
542	0.1503
543	0.1502
544	0.1503
545	0.1502
546	0.1502
547	0.1503
548	0.1503
549	0.1502
550	0.1502
551	0.1502
552	0.1502
553	0.1502
554	0.1503
555	0.1502
556	0.1502
557	0.1503
558	0.1503
559	0.1503
560	0.1503
561	0.1503
562	0.1502
563	0.1503
564	0.1502
565	0.1502
566	0.1503
567	0.1503
568	0.1503
569	0.1503
570	0.1503
571	0.1502
572	0.1503
573	0.1503
574	0.1503
575	0.1503
576	0.8001
577	0.2064
578	0.1502
579	0.1502
580	0.1502
581	0.1503
582	0.1503
583	0.1502
584	0.1502
585	0.1502
586	0.1502
587	0.4956
588	0.3286
589	0.3156
590	0.277
591	0.2278
592	0.1628
593	0.1503
594	0.1502
595	0.1502
596	0.1503
597	0.1503
598	0.1503
599	0.1502
600	0.1503
601	0.1503
602	0.1503
603	0.1502
604	0.1502
605	0.1503
606	0.1502
607	0.1502
608	0.1503
609	0.1503
610	0.1503
611	0.1502
612	0.1503
613	0.1502
614	0.1503
615	0.1502
616	0.1503
617	0.1503
618	0.1503
619	0.1502
620	0.1503
621	0.1503
622	0.1502
623	0.1502
624	0.1502
625	0.1502
626	0.1502
627	0.1503
628	0.1502
629	0.1502
630	0.1503
631	0.1503
632	0.5698
633	0.1503
634	0.1502
635	0.1503
636	0.1502
637	0.1503
638	0.1503
639	0.1502
640	0.1502
641	0.1502
642	0.1503
643	0.1503
644	0.1502
645	0.1503
646	0.1503
647	0.1503
648	0.1503
649	0.1503
650	0.1502
651	0.1503
652	0.1503
653	0.1503
654	0.1502
655	0.1502
656	0.1503
657	0.1503
658	0.1502
659	0.1503
660	0.1503
661	0.1503
662	0.1503
663	0.1502
664	0.1502
665	0.1503
666	0.1502
667	0.1503
668	0.1503
669	0.1503
670	0.1502
671	0.1503
672	0.1502
673	0.1503
674	0.1502
675	0.1502
676	0.1502
677	0.1503
678	0.1502
679	0.1502
680	0.1502
681	0.1502
682	0.1502
683	0.1502
684	0.1503
685	0.1503
686	0.1502
687	0.1502
688	0.1502
689	0.1503
690	0.1503
691	0.1503
692	0.1503
693	0.1502
694	0.1503
695	0.1502
696	0.1502
697	0.1502
698	0.1503
699	0.1503
700	0.1503
701	0.1502
702	0.1502
703	0.1503
704	0.1502
705	0.1503
706	0.1502
707	0.1503
708	0.1503
709	0.1502
710	0.1502
711	0.1502
712	0.1502
713	0.1502
714	0.1503
715	0.1502
716	0.1503
717	0.1503
718	0.1502
719	0.1502
720	0.1503
721	0.1502
722	0.1502
723	0.1503
724	0.1503
725	0.1502
726	0.1502
727	0.1502
728	0.1503
729	0.1502
730	0.1503
731	0.1503
732	0.1503
733	0.1503
734	0.1502
735	0.1503
736	0.1502
737	0.5322
738	0.2145
739	0.2025
740	0.3222
741	0.2067
742	1.0749
743	0.1859
744	0.1502
745	0.1502
746	1.1294
747	1.1475
748	0.1642
749	0.1502
750	0.1503
751	0.1502
752	0.1502
753	0.1503
754	0.1502
755	0.1502
756	0.1502
757	0.1503
758	0.1503
759	0.1503
760	0.1503
761	0.1503
762	0.1503
763	0.1503
764	0.1502
765	0.1502
766	0.1503
767	0.9315
768	0.2797
769	0.5298
770	0.4331
771	0.3475
772	0.2271
773	0.2242
774	0.1503
775	0.1502
776	0.1502
777	0.1503
778	0.1502
779	0.1502
780	0.1502
781	0.1502
782	0.1503
783	0.1503
784	0.1502
785	0.1503
786	0.1504
787	0.1502
788	0.1502
789	0.1503
790	0.1503
791	0.1503
792	0.1503
793	0.1502
794	0.1502
795	0.1503
796	0.1503
797	0.1503
798	0.1503
799	0.1503
800	0.1503
801	0.1502
802	0.1502
803	0.1503
804	0.1502
805	0.1503
806	0.1503
807	0.1502
808	0.1502
809	0.1503
810	0.1503
811	0.1503
812	0.1503
813	0.1502
814	0.1502
815	0.1503
816	0.1503
817	0.1502
818	0.1502
819	0.4995
820	0.1503
821	0.1502
822	0.1502
823	0.1503
824	0.1502
825	0.1502
826	0.1503
827	0.1503
828	0.1503
829	0.1503
830	0.1502
831	0.1503
832	0.1503
833	0.1503
834	0.1503
835	0.1502
836	0.1503
837	0.1503
838	0.1502
839	0.1503
840	0.1503
841	0.1503
842	0.1503
843	0.1503
844	0.1502
845	0.1503
846	0.1503
847	0.1502
848	0.1503
849	0.1503
850	0.1503
851	0.1503
852	0.1502
853	0.1503
854	0.1502
855	0.1502
856	0.1503
857	0.1503
858	0.1502
859	0.1502
860	0.1503
861	0.1503
862	0.1503
863	0.1502
864	0.1502
865	0.1502
866	0.1502
867	0.1503
868	0.1503
869	0.8507
870	1.0971
871	0.1502
872	0.1503
873	0.1502
874	0.7861
875	0.1503
876	0.1503
877	0.1502
878	0.1502
879	0.1503
880	0.1503
881	0.1502
882	0.1503
883	0.1502
884	0.1502
885	0.1502
886	0.1502
887	0.1503
888	0.1503
889	0.1503
890	0.1502
891	0.1502
892	0.1503
893	0.1502
894	0.1503
895	0.1503
896	0.1502
897	0.1502
898	0.1502
899	0.1503
900	0.1502
901	0.1502
902	0.1502
903	0.1503
904	0.1503
905	0.1502
906	0.1503
907	0.1503
908	0.1502
909	0.1502
910	0.1502
911	0.1503
912	0.1503
913	0.1503
914	0.1503
915	0.1503
916	0.1502
917	0.1502
918	0.1502
919	1.1316
920	0.1503
921	0.1502
922	0.1502
923	0.1502
924	0.1503
925	0.1502
926	0.1503
927	0.1503
928	0.1503
929	0.1502
930	0.1503
931	0.1503
932	0.1502
933	0.1502
934	0.1502
935	0.1502
936	0.1503
937	0.1503
938	0.1502
939	0.1503
940	0.1502
941	0.1503
942	0.1502
943	0.1502
944	0.1502
945	0.1503
946	0.1502
947	0.1503
948	0.1503
949	0.1502
950	0.1502
951	0.1503
952	0.1502
953	0.1502
954	0.1503
955	0.7184
956	0.1682
957	1.1459
958	0.1674
959	0.2059
960	0.1502
961	0.1503
962	0.1503
963	0.1502
964	0.1503
965	0.1502
966	0.1503
967	0.1503
968	0.1503
969	0.1502
970	0.1502
971	0.1503
972	0.1502
973	0.1503
974	0.1503
975	0.1502
976	0.1503
977	0.1502
978	0.1502
979	0.6472
980	0.1503
981	0.1502
982	0.1503
983	0.1502
984	0.1503
985	0.1502
986	0.1503
987	0.1503
988	0.1502
989	0.1503
990	0.1502
991	0.1503
992	0.8554
993	0.432
994	0.3165
995	0.2798
996	0.2028
997	0.1923
998	0.1543
999	0.1503
1000	0.8795
