seq	C1	C2	C3	C4	C5	C6	C7	C8
355	2.7905	0.9898	0.9898	0.9898	40.9896	40.9896	44.9901	44.9901
356	2.5223	0.7216	0.7216	0.7216	40.7215	40.7215	44.7219	44.7219
357	3.5898	0.5899	0.5899	0.5899	41.5892	41.5892	44.5903	44.5903
358	3.4621	0.5628	0.5628	0.5628	39.5638	39.5638	45.5622	45.5622
359	3.415	1.3146	0.5156	0.5156	40.5156	40.5156	44.5161	44.5161
360	3.359	0.4597	0.4597	0.4597	40.4597	40.4597	44.4602	44.4602
361	3.1952	2.3954	2.3954	2.3954	40.3964	40.3964	44.3969	44.3969
362	3.1937	2.3939	2.3939	2.3939	40.395	40.395	45.3941	45.3941
363	3.2264	3.2264	2.3267	2.3267	40.3279	40.3279	46.3266	46.3266
364	3.0322	2.2324	2.2324	2.2324	41.2323	41.2323	45.2329	45.2329
365	3.1382	3.1382	3.1382	3.1382	41.1384	41.1384	45.139	45.139
366	2.8685	2.0687	2.9682	2.9682	41.0688	41.0688	44.0701	44.0701
367	2.7709	1.9712	1.9712	1.9712	41.9707	41.9707	44.9718	44.9718
368	2.6261	1.8264	1.8264	1.8264	40.8265	40.8265	44.8271	44.8271
369	2.3917	1.592	1.592	1.592	40.5921	40.5921	44.5927	44.5927
370	2.387	1.5873	1.5873	1.5873	41.5867	41.5867	44.5881	44.5881
371	2.5515	2.5515	2.5515	2.5515	40.5524	40.5524	45.5515	45.5515
372	2.132	1.3322	1.3322	1.3322	40.3326	40.3326	46.2313	46.2313
373	2.075	1.2752	1.2752	2.0741	40.2756	40.2756	45.2749	45.2749
374	3.1466	1.1476	1.1476	1.1476	40.1481	40.1481	45.1474	45.1474
375	4.069	1.0701	1.0701	1.0701	42.069	42.8688	44.0708	44.0708
376	3.0251	1.026	1.026	1.026	41.0252	41.0252	45.0257	45.0257
377	3.0024	1.0031	1.0031	1.0031	41.0024	41.0024	45.0028	45.0028
378	2.7595	0.8606	0.8606	0.8606	40.8601	40.8601	44.8605	44.8605
379	2.5753	1.7758	1.7758	1.7758	39.7773	39.7773	44.7768	44.7768
380	2.5031	0.6043	0.6043	0.6043	42.6029	42.6029	43.5029	43.5029
381	2.4938	0.595	1.4935	1.4935	40.5945	40.5945	44.595	44.595
382	2.4243	2.4243	1.5248	1.5248	40.5256	40.5256	44.5261	44.5261
383	2.4239	2.4239	2.3237	2.3237	40.5252	40.5252	45.524	45.524
384	2.2824	1.4832	1.4832	1.4832	40.484	40.484	45.4827	45.4827
385	1.7196	0.9204	0.9204	0.9204	39.9213	39.9213	44.92	44.92
386	1.6883	0.889	0.889	1.6881	41.8884	41.8884	44.8888	44.8888
387	1.7484	1.7484	0.8492	0.8492	40.8485	40.8485	44.8491	44.8491
388	1.566	0.7668	0.7668	0.7668	40.7662	40.7662	44.7667	44.7667
389	1.3689	0.5698	0.5698	0.5698	40.5693	40.5693	44.5698	44.5698
390	1.2779	0.4788	0.4788	0.4788	40.4784	40.4784	44.4789	44.4789
391	1.3065	1.3065	2.1061	1.3065	40.3072	40.3072	44.3077	44.3077
392	1.2571	1.2571	1.2571	1.2571	40.2581	40.2581	44.2586	44.2586
393	2.0536	1.254	1.254	1.254	40.2551	40.2551	45.2539	45.2539
394	1.254	1.254	1.254	1.254	40.255	40.255	45.2538	45.2538
395	1.8556	1.0562	1.0562	1.0562	40.8555	40.0573	45.056	45.056
396	2.0107	2.0107	2.0107	2.0107	41.0109	41.0109	45.0111	45.0111
397	1.7547	1.7547	0.8556	0.8556	40.8553	40.8553	44.8555	44.8555
398	1.4499	0.6507	0.6507	0.6507	40.6506	40.6506	44.6507	44.6507
399	1.2634	0.4642	0.4642	1.2631	40.4641	40.4641	44.4643	44.4643
400	2.2552	0.4564	0.4564	0.4564	39.4572	39.4572	45.2552	44.4566
401	1.3966	1.3966	1.3966	1.3966	40.3974	40.3974	44.3977	44.3977
402	1.3325	1.3325	1.3325	1.3325	40.3335	40.3335	44.3337	44.3337
403	1.2323	1.2323	1.2323	1.2323	40.2333	40.2333	44.2336	44.2336
404	1.1647	1.1647	1.1647	1.1647	40.1658	40.1658	45.1644	45.1644
405	1.1287	1.1287	1.1287	1.1287	40.1299	40.1299	45.1284	45.1284
406	1.0597	1.0597	1.8589	1.0597	41.0591	41.0591	45.0595	45.0595
407	0.8168	0.8168	0.8168	0.8168	40.8163	40.8163	44.8167	44.8167
408	0.7773	0.7773	0.7773	0.7773	40.7768	40.7768	43.7783	43.7783
409	0.5849	0.5849	0.5849	0.5849	40.5846	40.5846	45.5842	45.5842
410	0.4546	0.4546	0.4546	0.4546	40.4544	40.4544	44.4545	44.4545
411	1.3898	1.3898	1.3898	1.3898	40.3906	40.3906	44.3908	44.3908
412	2.0403	2.0403	2.0403	2.0403	40.0413	40.0413	44.0415	44.0415
413	0.9943	0.9943	0.9943	0.9943	39.9954	39.9954	43.9955	43.9955
414	0.8863	0.8863	0.8863	0.8863	39.8874	39.8874	43.8876	43.8876
415	0.8315	0.8315	0.8315	0.8315	39.8328	39.8328	43.833	43.833
416	0.7795	0.7795	0.7795	0.7795	39.7809	39.7809	45.579	44.7794
417	0.7401	0.7401	0.7401	0.7401	41.6396	41.6396	44.7399	44.7399
418	0.6788	0.6788	0.6788	0.6788	40.6785	40.6785	44.6787	44.6787
419	0.6401	1.4393	0.6401	0.6401	41.6395	41.6395	44.6401	44.6401
420	0.5592	0.5592	0.5592	0.5592	40.559	40.559	43.5603	43.5603
421	0.4734	0.4734	0.4734	1.2724	41.4728	41.4728	44.4734	44.4734
422	0.4619	0.4619	1.361	1.361	40.4619	40.4619	45.361	45.361
423	0.9837	0.9837	0.9837	0.9837	41.9836	41.9836	42.8836	42.8836
424	0.8043	0.8043	1.704	1.704	39.8052	39.8052	43.8052	43.8052
425	0.5619	1.3615	0.5619	0.5619	39.563	39.563	43.563	43.563
426	1.3724	1.3724	0.4728	0.4728	39.4739	39.4739	43.4739	43.4739
427	1.0878	1.0878	1.0878	1.0878	39.0894	39.0894	43.0894	43.0894
428	0.8515	0.8515	0.8515	0.8515	40.6512	40.6512	43.8516	43.8516
429	1.7599	1.7599	2.5597	1.7599	39.7606	39.7606	43.7602	43.7602
430	1.3859	0.5863	0.5863	0.5863	39.5869	39.5869	43.5866	43.5866
431	0.5025	0.5025	0.5025	0.5025	39.5032	39.5032	43.5029	43.5029
432	0.4596	0.4596	0.4596	0.4596	39.259	38.461	43.46	43.46
433	1.3481	1.3481	1.3481	1.3481	39.3492	39.3492	43.349	43.349
434	1.2186	1.2186	1.2186	1.2186	39.2198	39.2198	43.2196	43.2196
435	1.1233	1.9229	1.1233	1.1233	39.1246	39.1246	43.1244	43.1244
436	0.948	1.7476	0.948	0.948	38.9494	38.9494	42.9492	42.9492
437	2.1061	2.1061	1.2062	1.2062	39.2064	39.2064	42.2079	42.2079
438	2.0727	2.0727	1.1728	1.1728	39.1731	39.1731	43.1728	43.1728
439	2.9404	2.0407	1.1408	1.1408	39.1412	39.1412	43.1408	43.1408
440	1.8706	1.8706	0.9706	1.7702	37.9722	38.7703	42.9707	42.9707
441	2.7484	1.8487	0.9488	0.9488	38.9493	38.9493	42.949	42.949
442	1.8295	2.729	0.9296	0.9296	38.9301	38.9301	42.9299	42.9299
443	1.8111	1.8111	0.9112	0.9112	38.9118	38.9118	42.9115	42.9115
444	1.6371	2.5365	0.7372	0.7372	38.7379	38.7379	42.7376	42.7376
445	2.496	1.5966	0.6967	0.6967	38.6977	38.6977	42.6972	42.6972
446	1.4825	1.4825	1.3816	0.5826	38.5833	38.5833	42.5831	42.5831
447	2.2639	1.3645	0.4646	0.4646	39.4638	39.4638	42.4653	42.4653
448	2.2822	2.2822	2.2822	2.2822	39.2824	39.2824	42.2839	42.2839
449	1.1066	1.1066	1.1066	1.1066	39.1069	39.1069	43.9064	43.1067
450	0.9199	0.9199	0.9199	0.9199	38.9203	38.9203	42.92	42.92
451	0.88	0.88	0.88	0.88	39.8798	39.8798	42.8801	43.6796
452	1.4364	1.4364	1.4364	1.4364	38.4371	38.4371	42.4368	42.4368
453	1.3616	1.3616	1.3616	1.3616	38.3623	38.3623	42.3621	42.3621
454	1.3368	1.3368	1.3368	1.3368	39.2365	39.2365	42.3374	42.3374
455	2.1555	2.1555	1.2559	1.2559	38.2569	38.2569	42.2566	42.2566
456	1.2172	1.2172	1.2172	1.2172	38.2182	38.2182	42.218	42.218
457	1.1764	1.9757	1.1764	1.1764	38.1775	38.1775	42.1772	42.1772
458	0.8997	0.8997	0.8997	0.8997	39.8991	39.8991	40.7991	40.7991
459	0.6859	0.6859	0.6859	0.6859	38.6855	38.6855	41.6866	41.6866
460	0.5852	0.5852	0.5852	0.5852	38.5849	38.5849	41.586	41.586
461	0.5331	0.5331	1.3321	0.5331	38.533	38.533	42.5323	42.5323
462	2.2546	2.2546	2.1545	1.3547	38.3555	38.3555	42.3549	42.3549
463	1.9449	1.9449	1.045	1.045	38.0459	38.0459	42.0452	42.0452
464	1.7797	2.6794	0.8798	0.8798	37.8808	37.8808	42.8796	42.8796
465	1.7183	1.7183	0.8183	0.8183	37.8194	37.8194	40.8199	40.8199
466	1.518	1.518	0.6181	0.6181	37.6193	37.6193	42.4176	41.6184
467	1.5167	1.5167	0.6168	0.6168	37.6181	37.6181	41.6172	42.4162
468	1.3714	1.3714	1.2709	0.4715	38.4711	38.4711	42.4712	42.4712
469	1.3509	1.3509	1.3509	1.3509	38.3511	38.3511	41.3519	41.3519
470	2.0455	2.0455	1.1457	1.1457	38.146	38.146	41.1468	41.1468
471	1.0719	1.0719	1.0719	1.0719	37.0735	37.0735	41.0731	41.0731
472	1.0427	1.0427	1.0427	1.0427	38.0431	38.0431	41.9424	41.9424
473	1.0039	1.0039	1.0039	1.0039	38.8034	38.0044	41.0053	41.0053
474	0.9149	0.9149	0.9149	0.9149	37.9154	37.9154	41.9149	41.9149
475	0.8794	0.8794	0.8794	0.8794	37.88	37.88	41.8795	41.8795
476	0.6548	0.6548	0.6548	0.6548	38.6542	38.6542	41.655	41.655
477	0.5827	0.5827	0.5827	0.5827	38.3819	37.5834	40.5838	40.5838
478	2.344	2.344	1.4441	1.4441	38.4445	38.4445	41.445	41.445
479	1.4325	1.4325	1.4325	1.4325	38.4326	38.4326	41.4335	41.4335
480	1.3909	1.3909	1.3909	1.3909	39.3907	40.1905	40.2907	40.2907
481	1.3706	1.3706	1.3706	1.3706	38.3713	38.3713	41.3717	41.3717
482	1.3316	1.3316	1.3316	1.3316	38.3321	38.3321	41.3327	41.3327
483	1.2793	1.2793	1.2793	1.2793	38.0789	37.2807	41.2805	41.2805
484	1.2114	1.2114	1.2114	1.2114	38.212	38.212	42.2109	43.0107
485	1.2046	1.2046	1.2046	1.2046	38.2053	38.2053	42.2042	42.2042
486	1.9485	1.9485	1.9485	1.9485	38.9487	38.9487	41.9487	41.9487
487	1.7054	0.9063	0.9063	0.9063	38.8055	38.8055	41.906	41.906
488	1.6793	1.6793	0.7801	0.7801	37.7809	37.7809	40.7811	40.7811
489	0.7734	0.7734	0.7734	0.7734	38.773	40.5724	41.7731	41.7731
490	0.547	0.547	0.547	0.547	38.5467	38.5467	41.5468	41.5468
491	0.4973	0.4973	0.4973	0.4973	38.4971	38.4971	41.4971	41.4971
492	1.3828	1.3828	1.3828	1.3828	37.3845	37.3845	41.3837	41.3837
493	1.3673	1.3673	1.3673	1.3673	38.368	38.368	41.3683	41.3683
494	1.2507	1.2507	1.2507	1.2507	39.1504	40.0504	42.2506	42.2506
495	1.2412	1.2412	1.2412	2.0407	39.241	39.241	41.2423	41.2423
496	1.9584	1.159	1.159	1.9585	38.9584	38.1599	41.1602	41.1602
497	1.8789	1.0795	1.8788	1.0795	38.0805	38.0805	42.0792	42.0792
498	1.0192	1.0192	1.9184	1.9184	38.0202	38.0202	42.0189	42.0189
499	0.939	0.939	0.939	0.939	38.9386	38.9386	41.939	41.939
500	0.8584	0.8584	0.8584	0.8584	38.858	38.858	42.6574	41.8584
501	0.8566	0.8566	0.8566	0.8566	38.8563	38.8563	41.8567	41.8567
