seq	delay
533	33.6
534	29.6
535	14.6
536	1.6
537	18.6
538	31.6
539	16.6
540	5.6
541	2.6
542	29.6
543	26.6
544	20.6
545	12.6
546	3.6
547	0.6
548	30.6
549	26.6
550	23.6
551	20.6
552	18.6
553	16.6
554	12.6
555	10.6
556	6.6
557	2.6
558	33.6
559	30.6
560	29.6
561	25.6
562	24.6
563	16.6
564	13.6
565	6.6
566	5.6
567	35.6
568	30.6
569	25.6
570	23.6
571	8.6
572	6.6
573	2.6
574	0.6
575	38.6
576	31.6
577	30.6
578	29.6
579	9.6
580	1.6
581	38.6
582	36.6
583	35.6
584	28.6
585	15.6
586	10.6
587	3.6
588	36.6
589	35.6
590	25.6
591	24.6
592	22.6
593	21.6
594	20.6
595	19.6
596	18.6
597	16.6
598	15.6
599	14.6
600	13.6
601	12.6
602	11.6
603	9.6
604	4.6
605	20.6
606	18.6
607	14.6
608	5.6
609	3.6
610	38.6
611	36.6
612	19.6
613	7.6
614	6.6
615	5.6
616	39.6
617	37.6
618	35.6
619	34.6
620	32.6
621	30.6
622	27.6
623	24.6
624	22.6
625	1.6
626	37.6
627	31.6
628	30.6
629	29.6
630	19.6
631	18.6
632	17.6
633	16.6
634	15.6
635	12.6
636	2.6
637	1.6
638	37.6
639	35.6
640	31.6
641	27.6
642	24.6
643	19.6
644	3.6
645	34.6
646	31.6
647	29.6
648	11.6
649	8.6
650	5.6
651	1.6
652	28.6
653	27.6
654	25.6
655	19.6
656	17.6
657	12.6
658	10.6
659	3.6
660	0.6
661	25.6
662	12.6
663	10.6
664	32.6
665	28.6
666	8.6
667	35.6
668	34.6
669	16.6
670	13.6
671	10.6
672	1.6
673	38.6
674	15.6
675	14.6
676	9.6
677	3.6
678	37.6
679	34.6
680	10.6
681	9.6
682	6.6
683	4.6
684	1.6
685	37.6
686	27.6
687	27.6
688	0.6
689	39.6
690	37.6
691	32.6
692	23.6
693	20.6
694	32.6
695	30.6
696	7.6
697	3.6
698	39.6
699	31.6
700	28.6
701	35.6
702	13.6
703	9.6
704	5.6
705	38.6
706	30.6
707	22.6
708	21.6
709	39.6
710	31.6
711	30.6
712	16.6
713	14.6
714	29.6
715	27.6
716	20.6
717	5.6
718	0.6
719	37.6
720	31.6
721	29.6
722	27.6
723	25.6
724	21.6
725	19.6
726	5.6
727	34.6
728	33.6
729	30.6
730	18.6
731	2.6
732	16.6
733	1.6
734	38.6
735	34.6
736	32.6
737	11.6
738	28.6
739	26.6
740	12.6
741	38.6
742	8.6
743	31.6
744	25.6
745	22.6
746	16.6
747	39.6
748	37.6
749	35.6
750	33.6
751	24.6
752	21.6
753	6.6
754	37.6
755	27.6
756	19.6
757	17.6
758	16.6
759	13.6
760	1.6
761	34.6
762	33.6
763	28.6
764	5.6
765	3.6
766	2.6
767	30.6
768	28.6
769	18.6
770	14.6
771	2.6
772	32.6
773	8.6
774	38.6
775	16.6
776	14.6
777	29.6
778	25.6
779	21.6
780	15.6
781	29.6
782	23.6
783	34.6
784	0.6
785	39.6
786	7.6
787	25.6
788	39.6
789	35.6
790	28.6
791	23.6
792	2.6
793	1.6
794	37.6
795	34.6
796	2.6
797	34.6
798	32.6
799	27.6
